Vehicle,Utilization,Idling Tim,Idled Fuel,Driving Tir,Driving Fu,Distance,Fuel Efficiency (mpg)
111,14,15174.37,183.12,2405.82,73.05,1002.51,3.91
112,16,9640.35,109.19,1868.92,59.5,797.44,4.73
113,36,5995.68,103.4,1617.67,356.11,2137.52,4.65
222,,,,,,,
223,,,,,,,
2161,,,,3436.57,,,
2162,,,,1477.05,,,
2163,,,,2610.53,,,
2164,,,,,,,
2166,,,,,,,
2171,,,,,,,
2172,,,,,,,
2173,,,,399.18,,,
2174,,,,,,,
2175,,,,,,,
2176,,,,,,,
2181,,,,,,,
2183,,,,,,,
2184,,,,,,,
2185,,,,,,,
2186,,,,,,,
2201,,,,,,,
2202,,,,,,,
2203,,,,8094.33,,,
2204,,,,,,,
2205,,,,,,,
2206,,,,9618.5,,,
2221,,,,,,,
2222,,,,,,,
2223,,,,,,,
2224,,,,,,,
2225,,,,,,,
2226,,,,,,,
2231,,,,,,,
2232,,,,,,,
2233,,,,,,,
2234,,,,,,,
2241,,,,,,,
2242,,,,,,,
2243,,,,8604.03,,,
2251,,,,,,,
2252,,,,,,,
2254,,,,917.73,,,
